feature,importance
overnight_gap_pct,0.06576910808680123
premarket_range_pct,0.006125799306886099
premarket_vol,0.012888898636392695
premarket_vol_vs_prev5d,0.013387784981088134
premarket_sweep_prev_high,0.0014249353009694037
premarket_sweep_prev_low,0.0017604406073757522
premarket_close_vs_prev_close_pct,0.015234623343832096
premarket_return_pct,0.004783197802794013
prev_close,0.06273584042484534
prev_day_range_pct,0.08111615088121697
prev_day_body_pct,0.0667546341287498
prev_day_bull,0.00997688305426755
prev_day_swept_prior_high,0.009813324645264085
prev_day_swept_prior_low,0.011841936501254173
open_pos_in_prev_range,0.06377317557085638
open_to_prev_high_pct_rng,0.06348772496282101
open_to_prev_low_pct_rng,0.06365382900468168
daily_atr14_pct,0.0679085946628932
h1_close_vs_sma20_pct,0.08274309673900244
h4_close_vs_sma20_pct,0.07293825480011251
h1_mom_5bars_pct,0.08554121752563343
h4_mom_3bars_pct,0.136340549032262
