feature,importance
overnight_gap_pct,0.06176820224489094
premarket_range_pct,0.012672809462366472
premarket_vol,0.019103752155005704
premarket_vol_vs_prev5d,0.022781069738408606
premarket_sweep_prev_high,0.001972950250943717
premarket_sweep_prev_low,0.003616628843341005
premarket_close_vs_prev_close_pct,0.028496544628411415
premarket_return_pct,0.010069787538426274
prev_close,0.06450398834618455
prev_day_range_pct,0.06598393547911294
prev_day_body_pct,0.06554848340573015
prev_day_bull,0.009846227819972783
prev_day_swept_prior_high,0.01575285368637261
prev_day_swept_prior_low,0.011186882548615704
open_pos_in_prev_range,0.05979974769123722
open_to_prev_high_pct_rng,0.05913382551965716
open_to_prev_low_pct_rng,0.060839002520841574
daily_atr14_pct,0.06396688663387277
h1_close_vs_sma20_pct,0.07209696402474938
h4_close_vs_sma20_pct,0.06791519603654876
h1_mom_5bars_pct,0.08701083105671054
h4_mom_3bars_pct,0.13593343036859984
