feature,importance
overnight_gap_pct,0.058215551268003526
premarket_range_pct,0.022864988776089272
premarket_vol,0.03428174540830631
premarket_vol_vs_prev5d,0.034615080705371726
premarket_sweep_prev_high,0.004239219543676202
premarket_sweep_prev_low,0.004644033221104469
premarket_close_vs_prev_close_pct,0.036732763853715246
premarket_return_pct,0.0244069401715405
prev_close,0.06279281029872014
prev_day_range_pct,0.06529107268467926
prev_day_body_pct,0.06117776362137291
prev_day_bull,0.008300949850086134
prev_day_swept_prior_high,0.009551792920843532
prev_day_swept_prior_low,0.008748922239385299
open_pos_in_prev_range,0.05085145952265114
open_to_prev_high_pct_rng,0.050281397750455495
open_to_prev_low_pct_rng,0.05212919478105392
daily_atr14_pct,0.0595013174803025
h1_close_vs_sma20_pct,0.05839187875698897
h4_close_vs_sma20_pct,0.07343661756023577
h1_mom_5bars_pct,0.0761215106056214
h4_mom_3bars_pct,0.1434229889797963
