feature,importance
overnight_gap_pct,0.043210629184227696
premarket_range_pct,0.04556983518263797
premarket_vol,0.04232145786440379
premarket_vol_vs_prev5d,0.042349705720804834
premarket_sweep_prev_high,0.004250985312637648
premarket_sweep_prev_low,0.0021451743925162553
premarket_close_vs_prev_close_pct,0.04187366862818412
premarket_return_pct,0.04162088451225733
prev_close,0.06856441701222912
prev_day_range_pct,0.04973705807507579
prev_day_body_pct,0.05815102404256183
prev_day_bull,0.007353479254426839
prev_day_swept_prior_high,0.007013178281953998
prev_day_swept_prior_low,0.011796887382085609
open_pos_in_prev_range,0.04618764942953758
open_to_prev_high_pct_rng,0.04412559026995981
open_to_prev_low_pct_rng,0.04375712246669267
daily_atr14_pct,0.05616010837530286
h1_close_vs_sma20_pct,0.052639074112915865
h4_close_vs_sma20_pct,0.0873415458026789
h1_mom_5bars_pct,0.05848336944234487
h4_mom_3bars_pct,0.14534715525456465
