feature,importance
overnight_gap_pct,0.06549159877366206
premarket_range_pct,0.007148638174986415
premarket_vol,0.01964309140093294
premarket_vol_vs_prev5d,0.01806151409827803
premarket_sweep_prev_high,0.0019775900440797745
premarket_sweep_prev_low,0.0015123599496722918
premarket_close_vs_prev_close_pct,0.017738924300650688
premarket_return_pct,0.00330043099862297
prev_close,0.07685386674138955
prev_day_range_pct,0.0684035433619144
prev_day_body_pct,0.07101647792925572
prev_day_bull,0.01025155427774289
prev_day_swept_prior_high,0.013341906269901085
prev_day_swept_prior_low,0.012549119608310748
open_pos_in_prev_range,0.06248798778390493
open_to_prev_high_pct_rng,0.060282595555469574
open_to_prev_low_pct_rng,0.058285273055924694
daily_atr14_pct,0.06919255066254959
h1_close_vs_sma20_pct,0.07038445592492665
h4_close_vs_sma20_pct,0.07858623023373491
h1_mom_5bars_pct,0.08730080658933209
h4_mom_3bars_pct,0.1261894842647579
