feature,importance
overnight_gap_pct,0.05423600058769581
premarket_range_pct,0.022274848704616698
premarket_vol,0.034811028857306345
premarket_vol_vs_prev5d,0.033862857399971795
premarket_sweep_prev_high,0.00272749032599146
premarket_sweep_prev_low,0.0021768513476999067
premarket_close_vs_prev_close_pct,0.03667697734964461
premarket_return_pct,0.021828983346054744
prev_close,0.04819916902445748
prev_day_range_pct,0.06197734106974901
prev_day_body_pct,0.06256694370337705
prev_day_bull,0.006230855340960221
prev_day_swept_prior_high,0.008668539507157144
prev_day_swept_prior_low,0.008823505823055001
open_pos_in_prev_range,0.05644224695540043
open_to_prev_high_pct_rng,0.05745215364765562
open_to_prev_low_pct_rng,0.05952016188452484
daily_atr14_pct,0.06983171580112602
h1_close_vs_sma20_pct,0.06525679098657569
h4_close_vs_sma20_pct,0.06896095408875776
h1_mom_5bars_pct,0.09876417528342236
h4_mom_3bars_pct,0.1187104089648001
