feature,importance
overnight_gap_pct,0.052206252555956276
premarket_range_pct,0.01836941940391969
premarket_vol,0.03244889935250075
premarket_vol_vs_prev5d,0.028877397991778936
premarket_sweep_prev_high,0.001842859862614565
premarket_sweep_prev_low,0.0033789859648537344
premarket_close_vs_prev_close_pct,0.029426424159859573
premarket_return_pct,0.026408874864063053
prev_close,0.06505383437443468
prev_day_range_pct,0.059381158522514105
prev_day_body_pct,0.059135289171786586
prev_day_bull,0.018904421817332397
prev_day_swept_prior_high,0.009122489907775389
prev_day_swept_prior_low,0.009001535958398508
open_pos_in_prev_range,0.057538850505026495
open_to_prev_high_pct_rng,0.06130665760411863
open_to_prev_low_pct_rng,0.06012410592585278
daily_atr14_pct,0.058666926101781175
h1_close_vs_sma20_pct,0.07573384334453746
h4_close_vs_sma20_pct,0.08618165659975868
h1_mom_5bars_pct,0.07540310121397006
h4_mom_3bars_pct,0.11148701479716636
